"Date","# of Unique Logins","# of New Accounts","# of New Contacts","# of New Leads",
"01st June 2017 (Thursday)","0","0","1","0",
"02nd June 2017 (Friday)","1","0","0","0",
"03rd June 2017 (Saturday)","1","0","0","0",
"04th June 2017 (Sunday)","0","0","0","0",
"05th June 2017 (Monday)","1","0","1","0",
"06th June 2017 (Tuesday)","0","0","0","0",
"07th June 2017 (Wednesday)","1","0","0","0",
"08th June 2017 (Thursday)","0","0","0","0",
"09th June 2017 (Friday)","1","0","0","0",
"10th June 2017 (Saturday)","2","0","0","0",
"11th June 2017 (Sunday)","1","0","0","0",
"12th June 2017 (Monday)","2","8","0","4",
"13th June 2017 (Tuesday)","2","0","1","0",
"14th June 2017 (Wednesday)","2","0","0","0",
